state,county,city,address1,address2,date
Kansas,Johnson,Shawnee,"12408 52 W Ter",,10/31/2004
Kansas,Barton,"Great Bend","705 10 E St 15",,11/05/2004
Kansas,Cowley,"Arkansas City","1014 First N St",,11/09/2004
Kansas,Ellis,Hays,"2400 7th E St",,11/19/2004
Kansas,Saline,Salina,"156 Florida",,11/22/2004
Kansas,Cherokee,Columbus,"7366 Beaver Se Dr",,12/07/2004
Kansas,Sumner,Wellington,"624 Jefferson S",,12/09/2004
Kansas,Pawnee,Larned,"511 Main N 3",,12/10/2004
Kansas,Wilson,Fredonia,"321 Jefferson W St",,12/19/2004
Kansas,Crawford,Pittsburg,"2101 Timberlane",,12/20/2004
Kansas,Reno,Hutchinson,"1400 6th E Ave",,12/20/2004
Kansas,Saline,Gypsum,"308 King St",,12/21/2004
Kansas,Mcpherson,Mcpherson,"570 Pioneer Rd",,12/22/2004
Kansas,Johnson,Olathe,"16518 132rd W",,01/08/2005
Kansas,Cowley,"Arkansas City","716 South 1st Street",,01/08/2005
Kansas,Whitley,Churubusco,"501 Main S St",,01/10/2005
Kansas,Crawford,Pittsburg,"1502 Broadway N St",,01/12/2005
Kansas,Miami,Louisburg,"401 1st S",,01/13/2005
Kansas,Shawnee,Topeka,"3617 7th Se St",,01/13/2005
Kansas,Ford,"Dodge City","1111 1/2 8th",,01/14/2005
Kansas,Labette,Parsons,"529 32nd S",,01/17/2005
Kansas,Barton,"Great Bend","227 Fruit St",,01/19/2005
Kansas,Greenwood,Madison,"2612 310 St",,01/19/2005
Kansas,Riley,Manhattan,"640 Moores",,01/21/2005
Kansas,Riley,Manhattan,"811 El Paso St",,01/21/2005
Kansas,Wyandotte,"Kansas City","3157 49 S Ter",,01/23/2005
Kansas,Pawnee,Larned,"711 1st Street E",,01/24/2005
Kansas,Johnson,Shawnee,"7612 King W E",,01/26/2005
Kansas,Butler,"Rose Hill","13463 160 Sw St",,01/27/2005
Kansas,Barton,"Great Bend","2812 Gano",,01/29/2005
Kansas,Sherman,Goodland,"216 Hwy 24 E Hwy G-10",,01/30/2005
Kansas,Sedgwick,Wichita,"935 Hiram S St",,01/31/2005
Kansas,Neosho,Thayer,"222 Greenwood Street",,01/31/2005
Kansas,Geary,Milford,"304 Laramie",,01/31/2005
Kansas,Labette,Edna,"1030 Lyon Rd",,02/01/2005
Kansas,Saline,Salina,"540 Claflin W Ave",,02/01/2005
Kansas,Jackson,Hoyt,"16302 134th Rd",,02/03/2005
Kansas,Reno,Hutchinson,"103 Star N St",,02/04/2005
Kansas,Ford,"Dodge City","203 Juneau",,02/09/2005
Kansas,Montgomery,Coffeyville,"2207 4th W St",,02/10/2005
Kansas,Wyandotte,"Bonner Springs","505 Lakewood",,02/11/2005
Kansas,Sedgwick,Wichita,"1446 Hydraulic S Ave",,02/14/2005
Kansas,Finney,"Garden City","2160 Jennie Barker N Rd",,02/14/2005
Kansas,Johnson,"Overland Park","9432 Hardy",,02/15/2005
Kansas,Cheyenne,,"Rr 2 44",,02/22/2005
Kansas,Sedgwick,Haysville,"140 Ballard",,02/24/2005
