state,county,city,address1,address2,date
Indiana,Elkhart,Elkhart,"2725 Cassopolis St",,05/03/2004
Indiana,Elkhart,Elkhart,"52353 County Road 17",,05/04/2004
Indiana,Fulton,Rochester,"9224 Troy Dr",,05/05/2004
Indiana,Marshall,Culver,"20841 State Road 8 Rd",,05/05/2004
Indiana,Vermillion,"Fairview Park","137 Lincoln N",,05/05/2004
Indiana,Fulton,Kewanna,"5869 County Road 1000 West S",,05/06/2004
Indiana,Carroll,Delphi,"3565 County Road 500 North W",,05/06/2004
Indiana,Howard,Kokomo,"307 Murden E St",,05/07/2004
Indiana,Brown,Morgantown,"8669 Richarts Rd",,05/07/2004
Indiana,Perry,"Tell City","644 13th St",,05/07/2004
Indiana,Pulaski,Winamac,"317 400 East N",,05/08/2004
Indiana,Steuben,Orland,"6690 County Road 490 North W",,05/09/2004
Indiana,Bartholomew,Columbus,"713 1/2 Lafayette Ave",,05/10/2004
Indiana,Bartholomew,Columbus,"1080 Cr 625 South W",,05/11/2004
Indiana,Harrison,Corydon,"3100 Locust Point Rd",,05/12/2004
Indiana,Jefferson,Madison,"1901 Orchard St 1",,05/13/2004
Indiana,Dubois,Jasper,"659 Sietz St",,05/13/2004
Indiana,Vigo,"Prairie Creek","7382 French W Dr",,05/14/2004
Indiana,Decatur,Greensburg,"409 Ireland N St",,05/14/2004
Indiana,Harrison,Lanesville,"4995 Seven Springs Rd",,05/14/2004
Indiana,Franklin,Laurel,"27054 Us 52",,05/15/2004
Indiana,Steuben,Hamilton,"5285 County Road 350 East S",,05/17/2004
Indiana,Jefferson,Canaan,"11508 Hicks Ridge N",,05/21/2004
Indiana,Martin,Loogootee,"702 Southwest Second Street 1",,05/22/2004
Indiana,Harrison,Lanesville,"5410 Old Lanesville N Rd",,05/22/2004
Indiana,Bartholomew,Elizabethtown,"9506 Pr 820 W N 6",,05/24/2004
Indiana,Wayne,Centerville,"1527 Memorial Dr",,05/24/2004
Indiana,Warrick,Newburgh,"2800 Jerald Dr",,05/25/2004
Indiana,Vigo,"Terre Haute","1207 26th N St",,05/25/2004
Indiana,Decatur,Greensburg,"9346 County Road 50 North W",,05/25/2004
Indiana,Miami,"Bunker Hill","125 Broadway E",,05/26/2004
Indiana,Kosciusko,Syracuse,"8106 Hatchery E Rd",,05/27/2004
Indiana,Bartholomew,Elizabethtown,"10603 Us 31 S 31",,05/27/2004
Indiana,Noble,Kendallville,"339 Vine E St",,05/30/2004
Indiana,Putnam,Greencastle,"3191 Vanbibber Lake Estate",,05/31/2004
Indiana,Putnam,Bainbridge,"6052 County Road 600 North E",,06/01/2004
Indiana,Tippecanoe,Lafayette,"10127 County Road 325 North E",,06/01/2004
Indiana,Allen,"Fort Wayne","3730 Washington E Blvd",,06/02/2004
Indiana,Warrick,Boonville,"333 Tennyson Rd",,06/02/2004
Indiana,Vigo,"Terre Haute","1819 12th S",,06/02/2004
Indiana,Dearborn,Lawrenceburg,"3179 Woods Rd",,06/04/2004
Indiana,Floyd,Georgetown,"8188 Seneca Dr",,06/04/2004
Indiana,Dekalb,Garrett,"4930 County Road 7",,06/04/2004
Indiana,Miami,Peru,"1603 State Road 19 N 17",,06/06/2004
Indiana,Bartholomew,Columbus,"2652 Sme St",,06/09/2004
Indiana,Jackson,Seymour,"940 Elm N St",,06/09/2004
Indiana,Fulton,"Leiters Ford","4622 Bowen N",,06/10/2004
Indiana,Marion,Indianapolis,"1029 Blaine Ave",,06/10/2004
Indiana,Vermillion,Cayuga,"112 Park W St",,06/11/2004
Indiana,Vigo,"Terre Haute","1718 10 N",,06/14/2004
Indiana,Tippecanoe,"West Lafayette","1920 Northwestern Ave 309",,06/16/2004
Indiana,Shelby,Shelbyville,"212 Pennsylvania E",,06/16/2004
Indiana,Howard,Kokomo,"2620 Washington N",,06/16/2004
Indiana,Tippecanoe,Lafayette,"2727 County Road 450 South W",,06/17/2004
Indiana,Rush,Rushville,"820 Morgan N",,06/18/2004
Indiana,Howard,Russiaville,"308 Chandler W St",,06/19/2004
Indiana,Wabash,Wabash,"4987 Old State Road 24 W",,06/19/2004
Indiana,Franklin,Brookville,"8126 Big Cedar Rd Lot 476",,06/20/2004
Indiana,Madison,Anderson,"2427 Van Vuskiak",,06/21/2004
Indiana,Miami,Macy,"305 Commerce W",,06/21/2004
Indiana,Vermillion,Clinton,"1040 Pike N St",,06/21/2004
Indiana,Bartholomew,Columbus,"1428 Chestnut St",,06/21/2004
Indiana,Knox,Vincennes,"2019 Old U.s. 41 S",,06/22/2004
Indiana,Vigo,"West Terre Haute","18 Mckilroy",,06/22/2004
Indiana,Noble,Wolcottville,"314 South Main Street 5",,06/22/2004
Indiana,Montgomery,Crawfordsville,"701 Franklin E",,06/23/2004
Indiana,Putnam,Reelsville,"7968 County Road 1000 South W",,06/24/2004
Indiana,Jackson,Freetown,"4645 Columbus Pike",,06/25/2004
Indiana,Pulaski,Winamac,"1200 Falvey St",,06/25/2004
Indiana,Jackson,Seymour,"401 Chestnut N St 34",,06/27/2004
Indiana,Bartholomew,Columbus,"2325 Tellman Rd",,06/29/2004
Indiana,Vanderburgh,,"2009 Ramona Dr B",,06/29/2004
Indiana,Tippecanoe,Lafayette,"1701 Pierce St",,06/30/2004
Indiana,Howard,Kokomo,"805 Monroe W St",,07/01/2004
Indiana,Allen,"New Haven","18514 Bremer Rd",,07/01/2004
Indiana,Cass,Logansport,"500 Market W St 3",,07/03/2004
Indiana,Cass,Logansport,"100 Hammon St",,07/03/2004
Indiana,Bartholomew,Columbus,"5026 Atkins N",,07/06/2004
Indiana,Cass,Logansport,"908 6th N St",,07/07/2004
Indiana,Knox,Vincennes,"135 Eighth N St",,07/07/2004
Indiana,Clay,Carbon,"10814 West St",,07/09/2004
Indiana,Vermillion,Clinton,"17092 Universal Ave",,07/09/2004
Indiana,Vermillion,Blanford,"15087 Garton Rd",,07/12/2004
Indiana,Spencer,Rockport,"999 County Road 25 West S",,07/12/2004
Indiana,Clay,Brazil,"601 Central W",,07/13/2004
Indiana,Floyd,"New Albany","2024 Market E St",,07/16/2004
Indiana,Kosciusko,Milford,"72079 State Road 19",,07/16/2004
Indiana,Bartholomew,Elizabethtown,"20522 County Road 300 South E",,07/17/2004
Indiana,Knox,Wheatland,"310 Old Us 50 W",,07/18/2004
Indiana,Vermillion,Clinton,"438 7th N St",,07/19/2004
Indiana,Noble,Albion,"21 Herron W Dr",,07/20/2004
Indiana,Fulton,Rochester,"1337 Old Us 31",,07/20/2004
Indiana,Bartholomew,Columbus,"110 Carhill Rd 118",,07/21/2004
Indiana,Crawford,Taswell,"3414 State Road 64 W",,07/24/2004
Indiana,Pulaski,Winamac,"1150 Falvey N St",,07/27/2004
Indiana,Vermillion,Clinton,"11751 Bandy Ln",,07/28/2004
Indiana,Dubois,Huntingburg,"611 Fifth St",,07/31/2004
Indiana,Cass,Logansport,"200 1/2 Miami E St",,07/31/2004
Indiana,Knox,Vincennes,"1321 3rd N St 5",,08/01/2004
Indiana,Vigo,"Terre Haute","5429 Village Walk Cir G",,08/02/2004
Indiana,Vigo,"Terre Haute","330 13th N",,08/02/2004
Indiana,Vermillion,Clinton,"1115 4th S St",,08/05/2004
Indiana,Bartholomew,Columbus,"1413 Franklin St",,08/05/2004
Indiana,Vigo,"Terre Haute","4850 25th N St",,08/09/2004
Indiana,Morgan,Martinsville,"320 Home S Ave",,08/10/2004
Indiana,Floyd,"New Albany","149 Village E Dr",,08/12/2004
Indiana,Crawford,Milltown,"14740 Greene St",,08/15/2004
Indiana,Steuben,Angola,"401 Superior N St",,08/15/2004
Indiana,White,Reynolds,"1308 Us24 E 18",,08/17/2004
Indiana,Sullivan,Shelburn,"36 Sr 48 E",,08/18/2004
Indiana,Knox,Bicknell,"5900 1st N",,08/26/2004
Indiana,Decatur,"Saint Paul","405 Maple Ct",,08/27/2004
Indiana,Dubois,Celestine,"2593 Sr 162 E",,08/30/2004
Indiana,Tippecanoe,"West Lafayette","941 South Newman Road",,08/30/2004
Indiana,Knox,Vincennes,"1322 Bayou St",,09/01/2004
Indiana,Steuben,Fremont,"345 Lane 587 Lake James",,09/01/2004
Indiana,Marshall,Culver,"7970 Country Breeze E. W Dr",,09/01/2004
Indiana,Sullivan,Dugger,"8065 Trehune St",,09/02/2004
